Booking_ID,Hotel_Name,Hotel_Category,City,State,Country,Checkin_Date,Checkout_Date,Month,Quarter,Year,Room_Type,Guests,Nights_Stayed,Room_Rate,Extra_Charges,Discount,Gross_Revenue,Net_Revenue,GST_Amount,Total_With_GST,Booking_Channel,Customer_Type,Payment_Mode,Occupancy_Status,Customer_Rating,Feedback_Status,Covid_Impact_Level
BK6052943,ITC Narmada,Business,Ahmedabad,Gujarat,India,44595,44597,February,Q1,2022,Executive,1,2,13137,449,2743,26723,23980,2877.6,26857.6,Booking.com,Member,Debit Card,Checked-Out,3.1,Negative,Low
BK3042624,ITC Narmada,Business,Ahmedabad,Gujarat,India,44480,44481,October,Q4,2021,Luxury Suite,3,1,18616,6619,2921,25235,22314,2677.68,24991.68,Walk-in,Member,Debit Card,Checked-Out,4.6,Negative,Low
BK1422305,ITC Sonar,Business,Kolkata,West Bengal,India,44331,44332,May,Q2,2021,Luxury Suite,4,1,14551,4230,3555,18781,15226,1827.12,17053.12,Booking.com,Corporate,UPI,Checked-In,4.7,Positive,High
BK8625822,ITC Maratha,Luxury,Mumbai,Maharashtra,India,44548,44550,December,Q4,2021,Presidential Suite,2,2,6637,300,1636,13574,11938,1432.56,13370.56,Website,VIP,UPI,Checked-In,4.7,Positive,Low
BK1453750,ITC Royal Bengal,Luxury,Kolkata,West Bengal,India,44321,44325,May,Q2,2021,Presidential Suite,4,4,23343,918,4131,94290,90159,10819.08,100978.08,Website,VIP,Debit Card,Checked-In,4.6,Positive,High
BK3480248,ITC Sonar,Business,Kolkata,West Bengal,India,44351,44354,June,Q2,2021,Luxury Suite,3,3,5028,4079,2436,19163,16727,2007.24,18734.24,Booking.com,New Guest,Net Banking,Checked-In,3.8,Positive,High
BK8495009,ITC Sonar,Business,Kolkata,West Bengal,India,44437,44440,August,Q3,2021,Presidential Suite,1,3,18672,1653,1401,57669,56268,6752.16,63020.16,MakeMyTrip,VIP,Net Banking,Checked-Out,4.6,Positive,Low
BK1571611,ITC Gardenia,Luxury,Bengaluru,Karnataka,India,44643,44647,March,Q1,2022,Deluxe,3,4,21523,1633,3899,87725,83826,10059.12,93885.12,Website,VIP,Credit Card,Checked-In,3.1,Positive,Low
BK7693467,ITC Rajputana,Business,Jaipur,Rajasthan,India,44519,44523,November,Q4,2021,Executive,3,4,13993,6931,1076,62903,61827,7419.24,69246.24,Booking.com,Regular,Net Banking,Checked-In,4.5,Neutral,Low
BK5946148,ITC Maratha,Luxury,Mumbai,Maharashtra,India,44408,44411,July,Q3,2021,Luxury Suite,2,3,27758,3717,1828,86991,85163,10219.56,95382.56,Goibibo,New Guest,Cash,Checked-In,3.8,Positive,Low
BK3453597,ITC Grand Chola,Luxury,Chennai,Tamil Nadu,India,44422,44425,August,Q3,2021,Luxury Suite,1,3,26214,3789,4674,82431,77757,9330.84,87087.84,Website,VIP,Cash,Checked-Out,4.1,Positive,Low
BK7956836,ITC Sonar,Business,Kolkata,West Bengal,India,44332,44336,May,Q2,2021,Executive,2,4,12767,570,898,51638,50740,6088.8,56828.8,Corporate,Member,Net Banking,Checked-Out,4.4,Positive,High
BK8095729,ITC Windsor,Business,Bengaluru,Karnataka,India,44619,44620,February,Q1,2022,Presidential Suite,2,1,13923,1065,4041,14988,10947,1313.64,12260.64,Goibibo,Member,Cash,Checked-Out,3.4,Positive,Low
BK2871264,Welcomhotel Dwarka,Business,New Delhi,Delhi,India,44417,44418,August,Q3,2021,Club Room,4,1,15935,5941,2907,21876,18969,2276.28,21245.28,Website,VIP,Credit Card,Checked-In,3.2,Positive,Low
BK1134255,ITC Rajputana,Business,Jaipur,Rajasthan,India,44342,44343,May,Q2,2021,Executive,4,1,9082,5790,3611,14872,11261,1351.32,12612.32,Website,Member,UPI,Checked-Out,3.2,Positive,High
BK3838770,ITC Grand Chola,Luxury,Chennai,Tamil Nadu,India,44385,44386,July,Q3,2021,Club Room,2,1,8503,6425,4137,14928,10791,1294.92,12085.92,Walk-in,New Guest,Credit Card,Checked-Out,3.9,Positive,Low
BK3413079,ITC Windsor,Business,Bengaluru,Karnataka,India,44326,44328,May,Q2,2021,Executive,4,2,5399,3674,4016,14472,10456,1254.72,11710.72,Website,VIP,Debit Card,Cancelled,4.7,Neutral,High
BK6018016,ITC Maratha,Luxury,Mumbai,Maharashtra,India,44441,44444,September,Q3,2021,Deluxe,3,3,15476,6968,1192,53396,52204,6264.48,58468.48,Corporate,Member,UPI,Checked-Out,4.9,Positive,Low
BK8998513,ITC Maurya,Luxury,New Delhi,Delhi,India,44602,44603,February,Q1,2022,Luxury Suite,3,1,20186,5831,4507,26017,21510,2581.2,24091.2,Goibibo,Member,Debit Card,Checked-In,4.5,Neutral,Low
BK9223747,ITC Windsor,Business,Bengaluru,Karnataka,India,44424,44426,August,Q3,2021,Deluxe,4,2,4520,6145,2671,15185,12514,1501.68,14015.68,Corporate,New Guest,Debit Card,Checked-In,3.7,Positive,Low
BK7658065,ITC Mughal,Resort,Agra,Uttar Pradesh,India,44429,44431,August,Q3,2021,Executive,2,2,26217,3417,2136,55851,53715,6445.8,60160.8,MakeMyTrip,VIP,UPI,Checked-Out,3.9,Positive,Low
BK6014751,ITC Rajputana,Business,Jaipur,Rajasthan,India,44628,44630,March,Q1,2022,Executive,4,2,24250,8,3465,48508,45043,5405.16,50448.16,Goibibo,New Guest,Cash,Checked-In,3.5,Positive,Low
BK7940745,ITC Grand Goa,Resort,Goa,Goa,India,44449,44453,September,Q3,2021,Deluxe,3,4,13601,1752,3626,56156,52530,6303.6,58833.6,Corporate,Corporate,Debit Card,Checked-Out,4.5,Positive,Low
BK5911293,ITC Windsor,Business,Bengaluru,Karnataka,India,44443,44446,September,Q3,2021,Executive,4,3,7366,1332,3499,23430,19931,2391.72,22322.72,Goibibo,VIP,Credit Card,Checked-In,3.8,Positive,Low
BK5329282,ITC Kohenur,Luxury,Hyderabad,Telangana,India,44544,44548,December,Q4,2021,Club Room,4,4,21371,2785,1420,88269,86849,10421.88,97270.88,Walk-in,Member,Debit Card,Checked-Out,3.8,Positive,Low
BK6604120,ITC Maurya,Luxury,New Delhi,Delhi,India,44290,44293,April,Q2,2021,Executive,1,3,19336,5043,45,63051,63006,7560.72,70566.72,Goibibo,New Guest,Cash,Checked-In,3.3,Neutral,High
BK7738224,ITC Narmada,Business,Ahmedabad,Gujarat,India,44587,44590,January,Q1,2022,Luxury Suite,4,3,9857,235,3528,29806,26278,3153.36,29431.36,Corporate,VIP,UPI,Checked-In,3.0,Positive,High
BK4280399,ITC Narmada,Business,Ahmedabad,Gujarat,India,44565,44569,January,Q1,2022,Club Room,2,4,12826,285,1824,51589,49765,5971.8,55736.8,Goibibo,Member,Debit Card,Checked-In,4.8,Negative,High
BK3385345,Fortune Select Trinity,Business,Bengaluru,Karnataka,India,44483,44484,October,Q4,2021,Presidential Suite,4,1,27517,6677,1604,34194,32590,3910.8,36500.8,Website,Member,Credit Card,Checked-In,4.9,Positive,Low
BK7555704,ITC Mughal,Resort,Agra,Uttar Pradesh,India,44556,44558,December,Q4,2021,Deluxe,3,2,27989,1892,3327,57870,54543,6545.16,61088.16,MakeMyTrip,VIP,Cash,Checked-In,3.7,Positive,Low
BK1507395,ITC Windsor,Business,Bengaluru,Karnataka,India,44587,44592,January,Q1,2022,Luxury Suite,4,5,8937,5829,4664,50514,45850,5502.0,51352.0,Website,Regular,Debit Card,Cancelled,4.3,Negative,High
BK7172862,ITC Windsor,Business,Bengaluru,Karnataka,India,44389,44393,July,Q3,2021,Executive,4,4,26051,6545,293,110749,110456,13254.72,123710.72,MakeMyTrip,Member,Net Banking,Cancelled,3.7,Negative,Low
BK5230745,Fortune Select Trinity,Business,Bengaluru,Karnataka,India,44531,44533,December,Q4,2021,Presidential Suite,2,2,6915,3056,2574,16886,14312,1717.44,16029.44,Booking.com,New Guest,UPI,Checked-Out,4.7,Positive,Low
BK5417523,Welcomhotel Dwarka,Business,New Delhi,Delhi,India,44593,44595,February,Q1,2022,Deluxe,4,2,10001,481,4709,20483,15774,1892.88,17666.88,MakeMyTrip,Corporate,Credit Card,Checked-Out,3.9,Neutral,Low
BK8487740,Welcomhotel Dwarka,Business,New Delhi,Delhi,India,44325,44326,May,Q2,2021,Club Room,1,1,10308,1765,4095,12073,7978,957.36,8935.36,Walk-in,Member,Net Banking,Checked-In,5.0,Positive,High
BK8159796,Fortune Select Trinity,Business,Bengaluru,Karnataka,India,44342,44345,May,Q2,2021,Club Room,4,3,6586,579,2043,20337,18294,2195.28,20489.28,Booking.com,Regular,Credit Card,Checked-In,3.8,Positive,High
BK9528507,Welcomhotel Dwarka,Business,New Delhi,Delhi,India,44645,44650,March,Q1,2022,Club Room,3,5,11431,1928,26,59083,59057,7086.84,66143.84,Walk-in,Member,Cash,Checked-Out,4.9,Neutral,Low
BK7879686,ITC Gardenia,Luxury,Bengaluru,Karnataka,India,44488,44490,October,Q4,2021,Club Room,1,2,24452,3578,4526,52482,47956,5754.72,53710.72,Walk-in,New Guest,Credit Card,Checked-In,4.1,Neutral,Low
BK8996038,ITC Windsor,Business,Bengaluru,Karnataka,India,44511,44512,November,Q4,2021,Executive,4,1,23819,5774,2875,29593,26718,3206.16,29924.16,MakeMyTrip,Member,Cash,Checked-Out,3.3,Positive,Low
BK9309706,ITC Kakatiya,Luxury,Hyderabad,Telangana,India,44458,44460,September,Q3,2021,Club Room,2,2,9940,1806,2519,21686,19167,2300.04,21467.04,Walk-in,Member,Debit Card,Checked-Out,4.8,Positive,Low
BK4625036,ITC Royal Bengal,Luxury,Kolkata,West Bengal,India,44473,44478,October,Q4,2021,Presidential Suite,1,5,18764,1757,747,95577,94830,11379.6,106209.6,Corporate,Regular,Debit Card,Cancelled,3.8,Neutral,Low
BK3415611,ITC Kohenur,Luxury,Hyderabad,Telangana,India,44385,44387,July,Q3,2021,Deluxe,1,2,15412,2317,1500,33141,31641,3796.92,35437.92,Corporate,Member,Debit Card,Checked-Out,4.0,Positive,Low
BK5077785,ITC Gardenia,Luxury,Bengaluru,Karnataka,India,44360,44361,June,Q2,2021,Deluxe,1,1,6641,4929,1175,11570,10395,1247.4,11642.4,Corporate,Member,Credit Card,Checked-In,4.1,Positive,High
BK3451355,ITC Maratha,Luxury,Mumbai,Maharashtra,India,44534,44535,December,Q4,2021,Executive,3,1,18313,1353,4531,19666,15135,1816.2,16951.2,Walk-in,VIP,Credit Card,Checked-Out,3.1,Positive,Low
BK1960592,ITC Gardenia,Luxury,Bengaluru,Karnataka,India,44484,44488,October,Q4,2021,Club Room,1,4,7804,4808,1891,36024,34133,4095.96,38228.96,Walk-in,Corporate,Debit Card,Checked-In,3.9,Positive,Low
BK8584886,ITC Kakatiya,Luxury,Hyderabad,Telangana,India,44646,44649,March,Q1,2022,Deluxe,3,3,13416,3918,1491,44166,42675,5121.0,47796.0,Website,Corporate,UPI,Checked-In,3.4,Positive,Low
BK4505688,ITC Maratha,Luxury,Mumbai,Maharashtra,India,44583,44586,January,Q1,2022,Club Room,3,3,20626,1557,2111,63435,61324,7358.88,68682.88,Goibibo,Member,UPI,Checked-Out,3.8,Positive,High
BK5865217,ITC Kohenur,Luxury,Hyderabad,Telangana,India,44330,44331,May,Q2,2021,Presidential Suite,4,1,26496,3400,78,29896,29818,3578.16,33396.16,Walk-in,Corporate,Net Banking,Cancelled,3.2,Positive,High
BK1856138,ITC Kakatiya,Luxury,Hyderabad,Telangana,India,44592,44593,January,Q1,2022,Deluxe,1,1,21494,6258,4219,27752,23533,2823.96,26356.96,Website,Regular,UPI,No Show,4.5,Neutral,High
BK6041516,ITC Grand Chola,Luxury,Chennai,Tamil Nadu,India,44302,44303,April,Q2,2021,Club Room,1,1,14468,2854,2514,17322,14808,1776.96,16584.96,Walk-in,VIP,UPI,Checked-Out,3.2,Positive,High
BK5857622,ITC Royal Bengal,Luxury,Kolkata,West Bengal,India,44346,44348,May,Q2,2021,Executive,1,2,20524,6304,3808,47352,43544,5225.28,48769.28,Walk-in,Corporate,UPI,Checked-Out,4.8,Positive,High
BK6611062,ITC Kohenur,Luxury,Hyderabad,Telangana,India,44300,44301,April,Q2,2021,Executive,1,1,14351,5039,2966,19390,16424,1970.88,18394.88,Goibibo,New Guest,Credit Card,No Show,3.3,Positive,High
BK2384478,ITC Windsor,Business,Bengaluru,Karnataka,India,44548,44553,December,Q4,2021,Executive,1,5,13499,4891,3874,72386,68512,8221.44,76733.44,Booking.com,Corporate,Credit Card,Checked-In,5.0,Negative,Low
BK7698764,Welcomhotel Dwarka,Business,New Delhi,Delhi,India,44528,44529,November,Q4,2021,Presidential Suite,4,1,25842,3892,274,29734,29460,3535.2,32995.2,Walk-in,New Guest,Cash,Checked-In,4.1,Positive,Low
BK3525958,ITC Grand Chola,Luxury,Chennai,Tamil Nadu,India,44354,44358,June,Q2,2021,Club Room,1,4,10586,6031,3858,48375,44517,5342.04,49859.04,Booking.com,VIP,UPI,Checked-Out,4.1,Positive,High
BK9964825,ITC Mughal,Resort,Agra,Uttar Pradesh,India,44554,44558,December,Q4,2021,Club Room,3,4,17219,6738,1460,75614,74154,8898.48,83052.48,Walk-in,Member,Credit Card,Checked-Out,3.2,Positive,Low
BK5127901,ITC Kohenur,Luxury,Hyderabad,Telangana,India,44467,44468,September,Q3,2021,Executive,1,1,4562,3154,4729,7716,2987,358.44,3345.44,Corporate,VIP,Cash,Checked-In,3.4,Positive,Low
BK3139064,ITC Mughal,Resort,Agra,Uttar Pradesh,India,44550,44551,December,Q4,2021,Deluxe,3,1,23700,6542,3303,30242,26939,3232.68,30171.68,Website,Corporate,Credit Card,Checked-Out,4.9,Positive,Low
BK9063393,ITC Maratha,Luxury,Mumbai,Maharashtra,India,44563,44564,January,Q1,2022,Executive,4,1,24680,1890,1977,26570,24593,2951.16,27544.16,Booking.com,VIP,UPI,Checked-In,4.1,Positive,High
BK3936055,ITC Grand Chola,Luxury,Chennai,Tamil Nadu,India,44391,44395,July,Q3,2021,Luxury Suite,3,4,26640,3114,3653,109674,106021,12722.52,118743.52,Walk-in,Corporate,UPI,Checked-Out,4.2,Positive,Low
BK7666971,ITC Royal Bengal,Luxury,Kolkata,West Bengal,India,44362,44366,June,Q2,2021,Club Room,3,4,20909,3210,4519,86846,82327,9879.24,92206.24,Corporate,New Guest,Cash,Checked-Out,3.5,Positive,High
BK4751509,ITC Windsor,Business,Bengaluru,Karnataka,India,44484,44487,October,Q4,2021,Luxury Suite,4,3,6673,2979,995,22998,22003,2640.36,24643.36,Walk-in,VIP,Cash,Checked-In,4.1,Positive,Low
BK8581295,Fortune Select Trinity,Business,Bengaluru,Karnataka,India,44322,44324,May,Q2,2021,Presidential Suite,3,2,27738,1214,980,56690,55710,6685.2,62395.2,Booking.com,Regular,Net Banking,Cancelled,4.7,Neutral,High
BK5751702,ITC Windsor,Business,Bengaluru,Karnataka,India,44511,44516,November,Q4,2021,Luxury Suite,4,5,7061,3250,2741,38555,35814,4297.68,40111.68,Website,Regular,UPI,Checked-In,4.3,Positive,Low
BK7976626,ITC Kakatiya,Luxury,Hyderabad,Telangana,India,44449,44452,September,Q3,2021,Club Room,3,3,8968,727,4860,27631,22771,2732.52,25503.52,Website,Corporate,Cash,Checked-Out,3.0,Neutral,Low
BK1838419,ITC Windsor,Business,Bengaluru,Karnataka,India,44384,44385,July,Q3,2021,Luxury Suite,1,1,7702,4511,2635,12213,9578,1149.36,10727.36,MakeMyTrip,New Guest,Net Banking,Checked-Out,3.4,Positive,Low
BK7863891,ITC Grand Goa,Resort,Goa,Goa,India,44608,44612,February,Q1,2022,Club Room,4,4,8671,3414,3900,38098,34198,4103.76,38301.76,Booking.com,Member,Credit Card,Checked-In,4.6,Positive,Low
BK1762653,ITC Sonar,Business,Kolkata,West Bengal,India,44446,44449,September,Q3,2021,Luxury Suite,1,3,23093,489,4394,69768,65374,7844.88,73218.88,Booking.com,New Guest,Net Banking,Checked-Out,4.9,Neutral,Low
BK8273301,Fortune Select Trinity,Business,Bengaluru,Karnataka,India,44406,44411,July,Q3,2021,Deluxe,2,5,18538,4083,4478,96773,92295,11075.4,103370.4,MakeMyTrip,Regular,Net Banking,Checked-Out,4.5,Negative,Low
BK8400895,ITC Gardenia,Luxury,Bengaluru,Karnataka,India,44578,44580,January,Q1,2022,Club Room,3,2,7490,3450,1562,18430,16868,2024.16,18892.16,Goibibo,Member,Net Banking,Checked-Out,4.0,Positive,High
BK7887693,Welcomhotel Dwarka,Business,New Delhi,Delhi,India,44297,44302,April,Q2,2021,Presidential Suite,4,5,15810,5541,2658,84591,81933,9831.96,91764.96,Corporate,Corporate,Credit Card,Checked-In,4.3,Neutral,High
BK6255971,ITC Maurya,Luxury,New Delhi,Delhi,India,44630,44635,March,Q1,2022,Executive,1,5,17131,4429,18,90084,90066,10807.92,100873.92,Booking.com,Member,Credit Card,Cancelled,4.8,Positive,Low
BK4947720,ITC Royal Bengal,Luxury,Kolkata,West Bengal,India,44298,44303,April,Q2,2021,Deluxe,4,5,18923,6829,3159,101444,98285,11794.2,110079.2,Corporate,Member,Cash,Checked-Out,4.2,Positive,High
BK4331302,ITC Grand Chola,Luxury,Chennai,Tamil Nadu,India,44361,44365,June,Q2,2021,Club Room,2,4,12536,88,2408,50232,47824,5738.88,53562.88,MakeMyTrip,VIP,Credit Card,Checked-Out,3.8,Positive,High
BK9471075,ITC Sonar,Business,Kolkata,West Bengal,India,44331,44335,May,Q2,2021,Deluxe,4,4,15041,3161,2742,63325,60583,7269.96,67852.96,Goibibo,New Guest,Net Banking,Cancelled,5.0,Negative,High
BK1664927,ITC Royal Bengal,Luxury,Kolkata,West Bengal,India,44370,44372,June,Q2,2021,Club Room,1,2,15925,2342,2399,34192,31793,3815.16,35608.16,Website,Member,UPI,Checked-In,4.7,Positive,High
BK5746854,ITC Grand Chola,Luxury,Chennai,Tamil Nadu,India,44526,44529,November,Q4,2021,Deluxe,3,3,24299,5482,4632,78379,73747,8849.64,82596.64,MakeMyTrip,Regular,Cash,Cancelled,4.5,Positive,Low
BK2569103,Welcomhotel Dwarka,Business,New Delhi,Delhi,India,44528,44532,November,Q4,2021,Presidential Suite,2,4,20035,1059,4008,81199,77191,9262.92,86453.92,Website,VIP,UPI,Checked-In,3.6,Neutral,Low
BK9995766,ITC Rajputana,Business,Jaipur,Rajasthan,India,44327,44332,May,Q2,2021,Executive,2,5,8537,6779,4057,49464,45407,5448.84,50855.84,Website,Member,Cash,Cancelled,3.9,Neutral,High
BK2934089,ITC Rajputana,Business,Jaipur,Rajasthan,India,44626,44627,March,Q1,2022,Deluxe,1,1,14488,5778,4602,20266,15664,1879.68,17543.68,MakeMyTrip,Member,Cash,Checked-Out,4.2,Positive,Low
BK6646182,ITC Mughal,Resort,Agra,Uttar Pradesh,India,44388,44392,July,Q3,2021,Deluxe,2,4,15200,5588,3338,66388,63050,7566.0,70616.0,Booking.com,Regular,Credit Card,Checked-Out,4.0,Negative,Low
BK5476887,ITC Royal Bengal,Luxury,Kolkata,West Bengal,India,44524,44525,November,Q4,2021,Presidential Suite,2,1,23540,3833,4349,27373,23024,2762.88,25786.88,MakeMyTrip,New Guest,Cash,Checked-In,4.2,Positive,Low
BK5806128,ITC Rajputana,Business,Jaipur,Rajasthan,India,44648,44652,March,Q1,2022,Executive,4,4,5641,4671,2842,27235,24393,2927.16,27320.16,Walk-in,Corporate,UPI,Checked-In,4.2,Positive,Low
BK7304177,ITC Grand Goa,Resort,Goa,Goa,India,44502,44505,November,Q4,2021,Deluxe,4,3,17842,6738,18,60264,60246,7229.52,67475.52,MakeMyTrip,VIP,Cash,Checked-In,4.7,Neutral,Low
BK5648908,Fortune Select Trinity,Business,Bengaluru,Karnataka,India,44288,44289,April,Q2,2021,Deluxe,3,1,12993,1213,395,14206,13811,1657.32,15468.32,Booking.com,New Guest,Debit Card,No Show,3.6,Positive,High
BK4367648,ITC Grand Chola,Luxury,Chennai,Tamil Nadu,India,44421,44426,August,Q3,2021,Executive,2,5,22337,2260,2122,113945,111823,13418.76,125241.76,Booking.com,Member,Net Banking,Checked-Out,5.0,Positive,Low
BK6130952,ITC Mughal,Resort,Agra,Uttar Pradesh,India,44455,44457,September,Q3,2021,Deluxe,3,2,6614,2789,1112,16017,14905,1788.6,16693.6,Website,Corporate,Cash,No Show,4.9,Positive,Low
BK9451142,ITC Windsor,Business,Bengaluru,Karnataka,India,44535,44537,December,Q4,2021,Presidential Suite,3,2,21784,3880,3921,47448,43527,5223.24,48750.24,Goibibo,Member,Debit Card,Checked-In,4.3,Positive,Low
BK3197594,ITC Grand Chola,Luxury,Chennai,Tamil Nadu,India,44629,44630,March,Q1,2022,Deluxe,4,1,26673,2507,4322,29180,24858,2982.96,27840.96,Booking.com,New Guest,Credit Card,Checked-In,3.6,Neutral,Low
BK8490819,ITC Mughal,Resort,Agra,Uttar Pradesh,India,44512,44517,November,Q4,2021,Executive,2,5,10029,506,2008,50651,48643,5837.16,54480.16,Goibibo,Member,Cash,Checked-In,4.2,Positive,Low
BK5781019,Welcomhotel Dwarka,Business,New Delhi,Delhi,India,44630,44635,March,Q1,2022,Club Room,3,5,24421,1820,1730,123925,122195,14663.4,136858.4,Website,Corporate,Debit Card,Checked-In,4.0,Positive,Low
BK2019936,ITC Royal Bengal,Luxury,Kolkata,West Bengal,India,44549,44552,December,Q4,2021,Club Room,4,3,4636,6577,1566,20485,18919,2270.28,21189.28,Corporate,Member,Cash,Checked-In,3.8,Positive,Low
BK3261237,Welcomhotel Dwarka,Business,New Delhi,Delhi,India,44398,44401,July,Q3,2021,Deluxe,3,3,26699,1624,3551,81721,78170,9380.4,87550.4,Walk-in,Corporate,Cash,Checked-In,4.4,Negative,Low
BK6660596,Fortune Select Trinity,Business,Bengaluru,Karnataka,India,44328,44329,May,Q2,2021,Club Room,3,1,20892,6494,4494,27386,22892,2747.04,25639.04,Corporate,Regular,UPI,Checked-Out,4.1,Positive,High
BK1671538,Fortune Select Trinity,Business,Bengaluru,Karnataka,India,44428,44431,August,Q3,2021,Luxury Suite,3,3,19042,6740,1697,63866,62169,7460.28,69629.28,Walk-in,Regular,UPI,Checked-In,3.2,Positive,Low
BK4279773,ITC Sonar,Business,Kolkata,West Bengal,India,44622,44623,March,Q1,2022,Club Room,3,1,5523,4215,330,9738,9408,1128.96,10536.96,Booking.com,Member,Debit Card,Checked-In,3.6,Positive,Low
BK4306434,Welcomhotel Dwarka,Business,New Delhi,Delhi,India,44310,44314,April,Q2,2021,Club Room,1,4,10488,3348,2021,45300,43279,5193.48,48472.48,MakeMyTrip,New Guest,Debit Card,Checked-Out,3.5,Positive,High
BK1534553,ITC Kakatiya,Luxury,Hyderabad,Telangana,India,44433,44438,August,Q3,2021,Presidential Suite,3,5,13035,1051,4983,66226,61243,7349.16,68592.16,Goibibo,Member,UPI,No Show,4.4,Positive,Low
BK6704001,ITC Windsor,Business,Bengaluru,Karnataka,India,44404,44408,July,Q3,2021,Presidential Suite,4,4,25158,82,3726,100714,96988,11638.56,108626.56,Walk-in,Regular,Credit Card,Checked-In,4.1,Negative,Low
BK8838511,ITC Kohenur,Luxury,Hyderabad,Telangana,India,44577,44579,January,Q1,2022,Executive,2,2,18049,1626,4129,37724,33595,4031.4,37626.4,Goibibo,Regular,Cash,Checked-In,4.7,Positive,High
BK3897475,Welcomhotel Dwarka,Business,New Delhi,Delhi,India,44574,44575,January,Q1,2022,Luxury Suite,4,1,16579,492,856,17071,16215,1945.8,18160.8,Booking.com,Member,UPI,Checked-In,3.1,Positive,High
BK2231566,ITC Sonar,Business,Kolkata,West Bengal,India,44445,44447,September,Q3,2021,Deluxe,1,2,10552,6563,229,27667,27438,3292.56,30730.56,Website,Corporate,Net Banking,Checked-In,4.8,Neutral,Low
BK7244677,ITC Maratha,Luxury,Mumbai,Maharashtra,India,44299,44304,April,Q2,2021,Executive,3,5,6528,2269,248,34909,34661,4159.32,38820.32,Booking.com,VIP,Cash,Checked-In,3.8,Positive,High
BK9809467,ITC Grand Goa,Resort,Goa,Goa,India,44480,44483,October,Q4,2021,Deluxe,1,3,19347,6299,1820,64340,62520,7502.4,70022.4,MakeMyTrip,VIP,Cash,Checked-Out,5.0,Positive,Low
BK1509054,ITC Grand Chola,Luxury,Chennai,Tamil Nadu,India,44287,44288,April,Q2,2021,Executive,2,1,26449,950,4927,27399,22472,2696.64,25168.64,MakeMyTrip,VIP,Cash,Checked-In,4.2,Positive,High
